Feature	Positive1_Digenic	Positive2_Digenic	Positive3_Digenic	Positive4_Digenic	Positive5_Digenic	Positive6_Digenic	Positive7_Digenic	Positive8_Digenic	Positive9_Digenic	Positive10_Digenic	Positive11_Digenic	Positive12_Digenic	Positive13_Digenic	Positive14_Digenic	Positive15_Digenic	Positive16_Digenic	Positive17_Digenic	Positive18_Digenic	Positive19_Digenic	Positive20_Digenic	Positive21_Digenic	Positive22_Digenic	Positive23_Digenic	Positive24_Digenic	Positive25_Digenic	Positive26_Digenic	Positive27_Digenic	Positive28_Digenic	Positive29_Digenic	Positive30_Digenic	Positive31_Digenic	Positive32_Digenic	Positive33_Digenic	Positive34_Digenic	Positive35_Digenic	Positive36_Digenic	Positive37_Digenic	Positive38_Digenic	Positive39_Digenic	Positive40_Digenic	Positive41_Digenic	Positive42_Digenic	Positive43_Digenic	Positive44_Digenic	Positive45_non-Digenic	Positive46_Digenic	Positive47_Digenic	Positive48_Digenic	Positive49_Digenic	Positive50_Digenic	Positive51_Digenic	Positive52_Digenic	Positive53_Digenic	Positive54_Digenic	Positive55_Digenic	Positive56_Digenic	Positive57_Digenic	Positive58_Digenic	Positive59_Digenic	Positive60_Digenic	Positive61_Digenic	Positive62_Digenic	Positive63_Digenic	Positive64_Digenic	Positive65_Digenic	Positive66_Digenic	Positive67_Digenic	Positive68_Digenic	Positive69_Digenic	Positive70_Digenic	Positive71_Digenic	Positive72_Digenic	Positive73_Digenic	Positive74_Digenic	Positive75_Digenic	Positive76_Digenic	Positive77_Digenic	Positive78_Digenic	Positive79_Digenic	Positive80_Digenic	Positive81_Digenic	Positive82_Digenic	Positive83_Digenic	Positive84_Digenic	Positive85_Digenic	Positive86_Digenic	Positive87_Digenic	Positive88_Digenic	Positive89_Digenic	Positive90_Digenic	Positive91_Digenic	Positive92_Digenic	Positive93_Digenic	Positive94_Digenic	Positive95_Digenic	Positive96_Digenic	Positive97_Digenic	Positive98_Digenic	Positive99_Digenic	Positive100_Digenic	Positive101_Digenic	Positive102_Digenic	Positive103_Digenic	Positive104_Digenic	Positive105_Digenic	Positive106_Digenic	Positive107_Digenic	Positive108_Digenic	Positive109_Digenic	Positive110_Digenic	Positive111_Digenic	Positive112_Digenic	Positive113_Digenic	Positive114_Digenic	Positive115_Digenic	Positive116_Digenic	Positive117_Digenic	Positive118_Digenic	Positive119_Digenic	Positive120_Digenic	Positive121_Digenic	Positive122_Digenic	Positive123_Digenic	Positive124_Digenic	Positive125_Digenic	Positive126_Digenic	Positive127_Digenic	Positive128_Digenic	Positive129_Digenic	Positive130_Digenic	Positive131_Digenic	Positive132_Digenic	Positive133_Digenic	Positive134_Digenic	Positive135_Digenic	Positive136_Digenic	Positive137_Digenic	Positive138_Digenic	Positive139_Digenic	Positive140_Digenic
Recs.add	-0.0069	-0.0073	0.0153	0.014	0.0157	0.0144	0.0145	8e-04	-0.0086	-0.0072	-0.0045	-0.0059	8e-04	0.0145	-0.0105	-0.0088	0.0145	-0.0088	-0.0067	-0.0118	0.0246	0.0218	-0.0101	7e-04	-0.0106	0.0173	0.0242	-0.0097	0.0179	0.0339	-0.0088	0.0126	0.0175	0.0225	-0.0086	-0.0058	0.0236	0.0141	0.0202	0.0299	0.0144	0.0148	0.0148	0.0054	0.0035	0.0128	0.011	-0.0078	0.031	0.019	0.0058	0.0208	0.0145	0.0281	-0.0091	0.0033	-0.0036	0.0268	0.0338	0.021	-0.0105	0.0233	0.0035	0.0196	-0.0085	-0.008	0.0262	0.0267	-0.0061	0.0036	0.0301	0.008	0.0243	0.0149	0.015	-0.0045	-0.0033	0.0204	0.0191	0.0143	0.0152	0.0154	0.0112	0.0199	0.0257	0.0104	0.008	0.0058	0.0051	0.0208	0.0059	0.0152	-0.0057	-0.0045	0.0126	-0.0085	0.0014	0.0142	0.007	0.0419	-0.0067	0.0023	0.0057	0.0163	0.0151	0.0039	0.0106	-0.0061	0.0065	0.0031	0.0246	0.0167	0.0132	0.0348	0.0291	-0.0094	-0.0053	0.0147	-0.0063	0.012	0.0142	0.0209	0.0048	-0.0069	0.0105	0.0245	-0.0121	0.0195	0.0214	0.0165	0.015	0.013	-0.0075	0.0324	0.0104	0.0208	0.0038	0.0215	-0.0072	0.0099
Recs.sub	9e-04	0.0013	0.0031	0.0037	0.0035	0.0032	0.0047	-4e-04	-9e-04	-5e-04	-4e-04	-2e-04	-4e-04	0.0034	-8e-04	-5e-04	0.0037	-0.0048	-6e-04	0	0.0052	0	4e-04	0.0101	4e-04	0.0071	0.0087	8e-04	0.0049	0.0119	0.0016	-2e-04	0.0047	7e-04	0.0011	0.0013	0.0071	-0.0011	0.0052	0.0109	0.0039	0.0031	0.0041	-5e-04	0.0096	9e-04	0.0019	1e-04	0.0115	0.0068	3e-04	-7e-04	-0.0012	0.0112	-0.0026	0.0086	-8e-04	0.0114	0.012	0.0072	0.0023	0.0092	0.0035	0.0077	9e-04	0.001	0.0134	0.0166	-3e-04	0.0045	7e-04	0.0058	0.0056	0.0037	3e-04	0.0041	1e-04	8e-04	0.0041	0.0046	0.0046	0.0029	2e-04	0.009	0.0091	-3e-04	-3e-04	2e-04	6e-04	0.003	1e-04	0.0044	-8e-04	0.0036	0.0058	0.002	0.0012	0.0169	0.0074	0.0026	-5e-04	-0.0012	1e-04	0.0054	0.0044	-0.0013	0.0026	5e-04	0.0161	4e-04	0.025	0.0038	-8e-04	0.0028	0.0264	0.001	0.002	0.0029	3e-04	0.0026	0.0032	0.0053	-7e-04	0.0041	-0.0078	0.0147	-0.001	0.0081	0.0083	0.0014	0.0036	0.0027	0.001	6e-04	0.0041	0.0067	0.0026	0.0102	0.0026	0.021
GOSemSim_MF	0.0116	0.0053	0.0085	0.0082	0.0096	0.0043	0.0102	0.0052	0.0132	0.0075	0.0116	0.0136	0.0134	0.0094	0.0132	0.0128	0.0079	0.0022	0.0137	-5e-04	-2e-04	0.0062	0.0013	0.0042	-0.0097	0.0104	-0.0011	0.0043	2e-04	5e-04	-0.0042	0.0109	0.0013	-0.0088	0.0062	0.0077	0.0022	0.0049	5e-04	0.0031	0.0012	0.0026	0.0099	0.0154	0.0233	0.0147	0.0143	0.0055	0.0046	-6e-04	0.0107	8e-04	5e-04	0.0016	-0.0045	0.0929	0.0158	0.0019	0.0026	0.001	0.0019	-0.0056	-0.0042	0.0102	0.0086	0.0082	0.0046	0.0069	0.0111	0.0023	0.0048	0.0031	-0.0025	0.0078	3e-04	-0.0047	0.0013	-4e-04	-0.0024	0.0116	0.0023	0.0104	0.0106	0.0017	-0.0037	0.0063	0.0061	0.008	0.0073	0.001	0.0068	0.0055	-0.0096	0.0095	0.0095	0.0166	0.0048	4e-04	0.0262	0.0028	-0.0095	-0.0085	0.0131	2e-04	0.0103	0.0043	0.0123	0.0071	0.0979	8e-04	0.014	-0.0092	0.0122	0	-0.0039	0.0123	-0.007	-0.005	0.0105	0.0145	0.0041	0.0053	0.0021	-9e-04	0.0061	-0.0065	0.0074	0.0014	-0.0051	0.0047	0.01	0.0058	0.0139	-0.0023	-0.0048	0.0015	0.007	0.0025	0.0148	0.0096
GOSemSim_BP	0.0423	0.0401	0.0146	0.0383	0.0181	0.0398	0.0385	0.039	0.0391	-0.0248	0.0122	0.0288	-0.0192	0.0449	-0.0031	-0.0192	0.0385	0.002	0.0098	0.0272	-0.0123	0.0223	-0.0109	-0.0142	0.0395	0.0348	0.0367	0.0182	0.0011	0.0048	0.0395	0.0435	0.002	0.0308	0.068	-0.0201	-0.0075	0.0412	0.0546	-0.0214	0.0427	0.0409	0.0432	0.0439	-0.0048	0.0426	0.0429	0.0403	0.0328	-0.0176	0.053	0.0543	0.0412	0.0011	0.0306	-0.015	0.045	-0.0074	-0.0211	0.0514	0.0654	0.0612	0.0482	-0.0021	0.0627	0.0578	-0.0234	-0.022	0.0443	0.0558	-0.007	-0.011	-0.0261	0.0389	0.0405	-0.0176	0.0112	0.0655	0.0488	0.0391	0.0403	0.0407	0.0025	0.0577	0.0554	0.0532	0.0425	0.0638	0.0658	0.0483	0.0564	0.0403	-0.0259	-0.005	-0.0294	0.0812	-0.012	-0.026	0.0647	-0.0105	0.0421	0.0526	0.0553	0.0425	0.045	0.0537	0.046	0.0448	-0.0094	-0.0166	-0.0061	0.0343	0.0391	0.0227	0.0869	0.0779	-0.0171	-0.0214	0.0334	0.0432	0.0387	0.0032	0.0381	-0.0158	0.0414	0.0698	0.0445	0.0453	-0.0147	0.0041	-0.0237	0.027	0.0762	0.0465	-0.0232	0.0182	0.0384	0.0338	0.0488	-0.0086
GOSemSim_CC	0.008	0.0075	0.0087	0.0075	0.0081	0.0072	0.0132	0.0074	0.0144	-0.0031	-0.0046	-0.0051	-0.0047	-0.0047	-0.0045	-0.0042	0.0071	9e-04	0.0078	0.0058	-0.0027	0.0034	0.0028	0.0071	0.0081	0.009	0.0075	-0.0017	-0.0032	-0.003	-0.0019	0.0094	0.0056	-0.0058	-0.005	0.0089	0.0242	0.007	0.01	0.0099	0.0091	0.007	0.0162	0.0018	0.0167	0.0193	0.0192	0.0082	-0.0066	0.0018	0.0116	0.0036	-0.0046	0.0115	-0.0033	0.1059	0.0099	0.008	-0.0028	-0.0055	-0.0019	-0.0057	0.0072	-0.0042	0.0126	0.0198	0.0111	0.0115	0.002	0.0145	0.0024	-0.0043	-0.0034	0.0068	0.0137	0.0019	-0.0014	-0.0043	-0.0031	0.0157	0.0136	0.0078	-0.0052	0.0081	0.0108	0.0099	0.0079	0.0132	0.0116	0.0056	0.0121	0.0076	0.0172	0.0028	-0.0027	-0.0055	0.0046	0.0055	0.0072	-0.0035	0.0031	0.0056	-0.0033	-0.0029	0.0077	0.0024	0.009	-0.0029	0.0169	0.0053	0.0072	0.0076	0.0159	-6e-04	0.0024	0.0151	-8e-04	0.0076	-4e-04	0.0169	0.0072	-0.0036	0.0141	3e-04	0.0073	-0.0071	0.0089	0.0092	-0.0032	-0.0044	-0.0044	-0.0036	0.0155	0.0146	-0.0036	-0.0048	0.0191	0.0029	-0.0011	0.0024
GeneMANIAGG	0.0358	0.0361	0.037	0.0314	-0.0104	0.0175	0.0349	0.0363	0.0368	-0.0112	0.0396	0.0387	0.0443	-0.0101	0.0343	0.0444	0.0334	-0.0113	0.0402	-0.0137	0.0436	0.0382	0.0834	0.0756	-0.0097	0.0414	-0.0112	-0.0101	0.0388	-0.0115	-0.011	0.0417	-0.0112	0.0259	-0.0118	-0.013	-0.0139	0.0348	-0.0111	-0.0131	0.0322	0.0343	0.0392	0.0425	-0.0162	0.0424	0.0412	0.0383	-0.0119	0.0495	0.0466	0.0319	0.0364	-0.0113	-0.0093	-0.0171	0.0449	-0.0117	-0.0125	0.0226	-0.0121	-0.0132	0.0477	0.0456	0.0026	0.0022	0.0433	-0.0144	-0.0112	0.0601	0.0937	0.0451	0.0368	0.0356	0.035	-0.0125	-0.0152	-0.0122	-0.0103	0.0339	0.0343	0.0359	0.0396	0.0567	0.0478	0.0394	0.0348	-0.0112	-0.0119	0.0401	0.041	0.0361	0.0526	-0.0116	0.0421	-0.0122	-0.0142	-0.013	-0.0123	-0.0145	0.0364	-0.0104	0.0502	-0.0095	-0.0104	-0.0113	-0.0106	0.0421	-0.0175	-0.0144	-0.018	-0.011	0.0364	-0.0126	-0.0151	-0.0124	-0.0112	0.0574	0.0364	0.0397	0.0352	-0.0107	0.0367	-0.0125	0.0352	-0.0126	0.0408	0.0391	0.0476	-0.0114	0.0424	-0.011	-0.012	-0.0128	-0.012	0.0517	0.0495	0.034	-0.0136	-0.016
HI.add	0.0014	-0.0013	0.0021	0.0016	0.0017	0.0018	0.0026	-0.0012	-2e-04	9e-04	7e-04	-0.0055	-0.0039	0.0018	-0.0012	-0.0017	0.0025	-6e-04	6e-04	0.0036	0.0022	0.0052	0.0044	0.0023	-0.0026	0.0013	0.006	0.0026	0.0027	0.005	0.0023	-0.0011	0.001	-6e-04	0.0016	0.0021	-0.0015	0.002	0.004	0.0055	-3e-04	0.003	0.0023	-4e-04	0.0147	0.0023	0.0029	0	0.0026	0.0026	0.0025	0.0039	0.0031	0.0047	0.001	0.0347	9e-04	0.005	0.0047	0.0044	0.0036	0.0097	0.0048	0.0023	-0.0031	0.0018	-0.0029	0.003	0.0012	0.0036	0.0017	0.0029	-0.0029	0.0018	0.003	0.014	0.0014	-0.0029	0.0044	0.0027	0.0025	0.0031	0.0029	0.0022	0.0027	0.0034	0.002	3e-04	0.0034	0.004	7e-04	0.0026	0.0027	0.0032	9e-04	0.0048	0.0057	0.0025	0.0028	0.0124	9e-04	0	9e-04	0.0022	0.0024	-0.0018	3e-04	2e-04	0.0145	0.0056	0.0116	0.004	4e-04	0.003	0.0094	0.0029	0.004	-7e-04	4e-04	0.0023	0.002	0.0041	0	0.0059	3e-04	0.005	-0.0059	3e-04	2e-04	0.0021	4e-04	0.0045	6e-04	0.0019	0.0022	0.0069	-0.0016	0.0051	-0.001	0.0064
HI.sub	7e-04	-0.0016	2e-04	6e-04	5e-04	0	0.0013	-4e-04	-0.0045	6e-04	0.0022	-5e-04	6e-04	7e-04	1e-04	9e-04	2e-04	-1e-04	-0.0047	0.0105	1e-04	0.0011	0.0029	8e-04	-0.0012	0.0029	0.0044	0.0028	0.0031	0.0061	-0.0012	-0.0056	0.0036	0.001	4e-04	0.0055	-0.0012	0.0024	0.005	0.0068	-0.0011	5e-04	0.0017	5e-04	0.0146	6e-04	0.0019	0	0.0095	0.0022	0.0032	0	2e-04	0.0074	0.001	0.0201	2e-04	0.0073	0.0066	0.0039	0.0094	0.0052	0.0038	0	-0.001	9e-04	-0.0026	0.0112	0.0011	6e-04	0.001	0.0017	-0.0063	-1e-04	0.0016	0.0037	-4e-04	-0.0062	7e-04	9e-04	0.0018	3e-04	0.003	0.0048	0.001	0.003	0.0012	8e-04	0.005	0.003	-9e-04	6e-04	-7e-04	0.0046	3e-04	0.0064	0.0083	0.0093	0.0028	0.0114	-0.001	-4e-04	0.0014	7e-04	0.0012	-0.0063	-0.0013	6e-04	0.0175	0.007	0.0104	4e-04	9e-04	0.0103	0.0247	0.008	0.0038	-0.0055	0.0011	0.0011	6e-04	0.0042	3e-04	0.0126	6e-04	0.0093	1e-04	5e-04	9e-04	7e-04	3e-04	0.0048	0.0012	8e-04	7e-04	0.0046	-0.0068	0.0029	-0.0012	0.0025
BioDis	0.0688	0.071	0.0721	0.0661	0.0713	0.0679	0.0685	0.0722	0.0726	0.0817	0.0761	0.0565	0.0713	0.0664	0.0719	0.0722	0.0671	-0.0058	0.0783	-0.0165	0.02	0.0618	0.002	-0.0274	0.0379	-0.0288	0.0811	-0.0155	0.0659	-0.0072	0.1049	0.0734	0.0854	0.092	0.0973	-0.0188	0.0855	0.0693	0.0829	-0.0062	0.0721	0.0667	0.0705	0.0726	-0.0021	0.0712	0.0711	0.0697	-0.009	-0.0061	0.0822	0.0548	0.0708	0.0859	0.0817	0.0019	0.0385	0.0879	-0.0138	0.0767	-0.0081	0.0699	-0.0036	-0.0027	0.0923	0.093	-0.0023	-0.0016	0.0804	-0.016	-0.0015	-0.0253	-0.0346	0.0679	0.0652	-0.033	-0.0012	-0.0297	-0.0116	0.0695	0.0707	0.0734	0.081	-0.0186	-0.0327	0.0797	0.0763	0.0704	0.0324	0.0837	0.0652	0.0713	0.0929	-0.0226	0.0726	-0.0261	0.0724	-0.0264	0.1401	4e-04	0.082	-0.0252	0.0207	0.0765	0.0706	0.0178	0.0806	0.0813	0.0361	0.0082	-0.0187	0.0022	0.0674	-0.029	0.1617	-0.0314	0.0034	-0.012	0.0807	0.0712	0.0666	0.0357	0.069	-0.0239	0.0706	-0.0175	0.0741	-0.0349	-0.0246	-0.0288	0.0736	0.044	-0.0112	-0.0342	0.0913	0.0883	0.0751	-0.0306	-0.0353	0.0037
LofIn.add	-0.0057	-3e-04	-2e-04	-0.004	-0.0049	-6e-04	-0.0052	-2e-04	1e-04	7e-04	-0.004	-0.0042	3e-04	-0.0042	-0.0038	-0.003	2e-04	0.0011	6e-04	-0.003	0.0018	0.0065	0.0042	0.004	0.0049	0.002	0.0068	0.0054	0.0041	0.0018	0.0018	7e-04	0.0029	0.0014	0.005	0.0065	0.0044	0.0041	0.0052	0.0059	0.0023	0.0039	4e-04	-0.0041	0.0453	-2e-04	2e-04	1e-04	0.0052	0.0047	-0.0011	0.0061	0.0031	0.0057	0.001	0.0064	1e-04	0.0055	0.0024	0.0041	0.0014	0.0039	0.0054	0.0035	-5e-04	-3e-04	-0.0035	0.0045	4e-04	0.0022	-0.0028	0.0024	0.0015	0.0019	7e-04	0.0173	0.0029	0.0022	0.0013	0.0039	0.0039	-1e-04	9e-04	0.0017	0.003	0.0035	0.0037	0.0059	-6e-04	0.0051	0.0035	0.003	9e-04	0.014	8e-04	0.0073	0.0084	0.0029	0.0135	0.0107	9e-04	-0.004	0.0011	0.0014	0.003	-0.0051	0.001	9e-04	0.0228	0.0021	0.0071	0.0032	0.0013	0.0018	0.0159	0.0026	0.0052	6e-04	0.001	0.0031	-0.004	0.0053	-6e-04	0.0036	-3e-04	7e-04	-0.0031	-0.0046	0.0011	0.0011	-0.0011	0.0066	0.0058	0.0013	0.0012	0.005	-0.0013	1e-04	0.0017	0.0035
