Feature	Manual1_Digenic	Manual2_Digenic	Manual3_Digenic	Manual4_Digenic	Manual5_Digenic	Manual6_non-Digenic	Manual7_Digenic	Manual8_Digenic	Manual9_Digenic	Manual10_Digenic	Manual11_Digenic	Manual12_Digenic	Manual13_non-Digenic	Manual14_Digenic	Manual15_Digenic	Manual16_Digenic	Manual17_Digenic	Manual18_Digenic	Manual19_Digenic	Manual20_Digenic	Manual21_Digenic	Manual22_Digenic	Manual23_Digenic	Manual24_Digenic	Manual25_Digenic	Manual26_Digenic	Manual27_Digenic	Manual28_Digenic	Manual29_non-Digenic	Manual30_Digenic	Manual31_Digenic	Manual32_Digenic	Manual33_non-Digenic	Manual34_Digenic	Manual35_Digenic	Manual36_non-Digenic	Manual37_Digenic	Manual38_Digenic	Manual39_Digenic	Manual40_Digenic	Manual41_Digenic	Manual42_Digenic	Manual43_Digenic	Manual44_Digenic	Manual45_Digenic	Manual46_Digenic	Manual47_Digenic	Manual48_Digenic	Manual49_Digenic	Manual50_Digenic	Manual51_Digenic	Manual52_Digenic	Manual53_non-Digenic	Manual54_Digenic	Manual55_Digenic	Manual56_Digenic	Manual57_Digenic	Manual58_Digenic	Manual59_Digenic	Manual60_Digenic	Manual61_non-Digenic	Manual62_Digenic	Manual63_Digenic	Manual64_Digenic
Recs.add	-0.0098	0.0169	0.015	0.0024	0.0264	-0.0141	0.0198	0.0061	-0.013	0.0176	-0.0094	-0.0059	-0.0111	-0.0109	-0.0095	-0.0085	0.0033	-0.002	-0.0164	-0.0082	0.0038	0.0159	0.0209	-0.0033	-0.0171	0.0214	0.0144	0.0153	-0.0082	0.0158	0.0301	0.003	-0.0102	0.0086	0.0038	-0.0113	0.0167	-0.0091	-0.0049	-0.0119	0.0045	-0.0144	-0.0107	-0.0124	0.0197	0.0036	-0.008	0.0137	0.0192	0.0162	-0.0095	0.012	-0.0125	0.0258	0.0247	0.0143	0.0125	0.02	-0.0113	0.0226	0.0286	0.0149	0.0028	-0.0139
Recs.sub	-3e-04	0.0041	0.006	0.0011	0.0037	-0.0028	0.0037	0.0027	0.001	-0.0012	-0.0053	0.0041	-0.0017	2e-04	-0.0012	-0.0018	-0.0019	-0.0011	-8e-04	-0.0011	-0.0023	0.004	-0.0032	-3e-04	-0.0017	0.0068	-0.0077	-6e-04	-0.0026	0.0055	-0.0031	-1e-04	-0.0022	-6e-04	-2e-04	-0.0029	-0.001	-0.001	3e-04	-0.0011	-0.001	-0.0017	-1e-04	-7e-04	0.0055	0.0068	-0.0016	0.0032	0.0053	-0.0013	-7e-04	-7e-04	-0.0045	-8e-04	0.0078	0.0036	0.0026	0.011	-0.0035	0.0141	-0.0031	0.0026	-0.0038	-2e-04
GOSemSim_MF	-0.0027	-0.0035	0.0011	0.0034	0.0024	-0.0046	-0.0102	0.0044	0.0115	0.0061	0.0081	0.0031	-0.0124	0.0049	0.0154	0.0122	-0.0028	0.0087	0.0027	0.009	-0.011	2e-04	-6e-04	-0.0148	-0.0012	0.002	0.0118	0.0117	0.0113	2e-04	0.0014	-0.0041	-0.0168	-0.0022	0.0031	-0.0092	-0.0106	0.0152	0.0114	-0.0105	-0.0053	0.0059	0.0056	8e-04	0.0029	-0.0041	0.005	0.0102	0.004	-0.0052	0.0215	0.0061	-0.0105	-0.0018	-0.0022	0.004	0.005	-0.0034	-0.0063	1e-04	-0.0109	-0.0011	-3e-04	-0.0015
GOSemSim_BP	0.0551	-0.0284	0.0411	-0.0227	-0.0115	-0.034	0.0535	0.0523	-0.0296	0.0517	0.068	-0.0303	-0.0262	0.0559	0.0422	0.0471	-0.0343	-0.0285	0.0554	0.0446	0.0309	0.0357	0.0565	0.0481	0.0511	0.0588	0.0401	0.04	0.0713	0.0401	-0.0239	-0.0398	0.0834	-0.0038	0.0384	-0.0312	-0.0304	0.0525	0.0532	-0.024	-0.035	0.0215	0.0433	0.053	0.0316	0.0349	0.055	0.0435	0.0501	0.0425	-0.016	0.0375	-0.031	-0.0201	0.001	0.0398	0.0404	-0.0272	-0.0183	-0.0234	-0.0296	-0.0233	0.0487	0.0083
GOSemSim_CC	-0.0113	0.0019	3e-04	-0.0043	-0.0092	0.0137	-0.0065	0.0104	-0.0102	0.01	0.0152	0.0087	0.0055	0.0115	-0.0023	0.0066	-0.0028	-0.0095	0.0112	0.0098	0.0085	0.0147	0.0017	0.0163	-0.0093	0.0127	0.0164	0.0116	0.0176	0.0073	-0.0081	-0.0032	0.0579	-0.0054	0.0078	-0.0091	-0.0046	0.0126	0.0122	0.0052	-0.0083	0.0061	0.0039	0.0062	0.0061	0.0118	0.0095	0.0177	0.0091	-0.003	0.0021	0.0076	-0.0031	0.0059	0.0036	0.0068	0.0047	0.0054	0.0021	-0.0049	-5e-04	0.0114	0.0077	0.002
GeneMANIAGG	0.0491	-0.0138	0.0389	-0.0177	-0.0229	0.0316	-0.0134	0.0429	0.0636	0.0448	0.0562	-0.0137	-0.0221	0.0334	0.0453	-0.0118	-0.0148	-0.0163	0.0427	0.0387	0.041	0.0398	0.0484	0.0431	0.0663	0.0515	0.0355	0.0365	0.0881	0.0353	-0.0144	-0.0149	-0.0198	-0.0162	0.0363	-0.0221	0.0423	0.049	0.0475	-0.0198	-0.0154	0.0364	-0.0125	0.0456	0.0427	0.0467	-0.0126	0.0402	0.0447	0.032	0.0182	0.0365	-0.0231	-0.0159	-0.0131	0.0348	0.0381	-0.0137	-0.0176	-0.018	-0.0235	-0.0171	0.0431	-0.0196
HI.add	5e-04	0.0043	0.0022	0.0017	0.0037	0.0061	-0.0018	7e-04	0.0022	-2e-04	-5e-04	-0.0035	0.0023	0.003	4e-04	2e-04	0.0014	2e-04	-0.009	0.0016	-4e-04	0.0027	-3e-04	-0.0048	0.0055	0.0011	0.0017	0.0021	-0.0011	0.0026	0.0011	-0.0012	0.0054	0.0046	0.001	-5e-04	2e-04	0.0011	0.0019	8e-04	-0.0013	0.0011	-7e-04	0.0016	0.0036	0.0037	3e-04	0.0018	0.0034	0.0012	0.0016	-0.0079	-0.0018	0.0034	0.0042	0.0022	0.0019	0.006	-0.0026	0.0036	0.0031	0.0048	0.0043	0.005
HI.sub	0.0036	0.0064	-0.0017	0.0015	0.0108	-0.0032	-0.0033	4e-04	0.0024	6e-04	7e-04	-0.0037	-0.0013	0.0026	0	-3e-04	1e-04	-0.0016	-0.0103	0	-0.0017	0.0016	-0.0119	-0.0082	-0.0011	5e-04	0.0016	0	-6e-04	1e-04	4e-04	-9e-04	0.0022	-7e-04	5e-04	-0.002	0.002	-0.0014	-1e-04	-0.001	-0.0123	-2e-04	-0.0016	1e-04	0.0048	-0.003	1e-04	0.0022	-3e-04	9e-04	-2e-04	-0.0094	-0.0028	0.0055	-0.011	0	0.002	0.0028	-0.002	0.0082	5e-04	0.0082	-4e-04	-0.0036
BioDis	0.0795	0.0909	0.0724	-0.0289	-0.0052	0.1461	0.0424	0.0681	-0.0264	0.0458	0.1347	-0.0287	-0.0525	0.0714	-0.0089	0.0778	0.0264	-0.0075	0.0783	0.0779	-0.0271	0.066	-0.0427	0.0772	0.0922	-0.0256	0.0646	0.0686	-0.0494	0.0689	-0.0386	0.0924	-0.0193	-0.0219	0.0683	-0.0505	0.0727	0.0887	0.0874	-0.015	-0.047	-0.013	0.0712	-0.0101	0.0598	-0.0474	-0.0443	0.0706	0.0699	0.0712	-0.0357	0.0691	-0.0408	0.0522	0.0825	0.0662	0.0697	-0.0074	-0.0316	-0.0092	-0.027	-0.0462	-0.0124	0.0793
LofIn.add	-6e-04	0.0062	0.0025	0.0013	-0.0015	-0.0021	-0.0014	-3e-04	-0.0021	-0.0103	-0.0079	-0.0011	-0.0022	-0.0013	0.0022	-0.0053	-0.0091	-0.0082	0.001	0.0035	-0.0043	0.0035	0.0029	-0.0125	0.0045	-2e-04	8e-04	0.0033	-0.0037	0.0028	-0.0101	0.0011	0.0066	0.0089	2e-04	-0.0025	3e-04	0.0045	-9e-04	0.0061	0.0043	-9e-04	0.0057	-7e-04	-0.0026	0.0033	-1e-04	-4e-04	-8e-04	-0.0018	0	-0.0046	-0.0025	2e-04	0.0057	-0.0031	-0.0015	0.0014	-0.0016	-4e-04	-0.001	0.0026	-1e-04	-0.0011
