Feature	DD1_Digenic	DD2_non-Digenic	DD3_Digenic	DD4_Digenic	DD5_non-Digenic	DD6_non-Digenic	DD7_non-Digenic	DD8_non-Digenic	DD9_non-Digenic	DD10_non-Digenic	DD11_Digenic	DD12_non-Digenic	DD13_non-Digenic	DD14_non-Digenic	DD15_Digenic	DD16_Digenic	DD17_non-Digenic	DD18_non-Digenic	DD19_Digenic	DD20_non-Digenic	DD21_Digenic	DD22_Digenic	DD23_non-Digenic	DD24_Digenic	DD25_non-Digenic	DD26_Digenic	DD27_Digenic	DD28_non-Digenic	DD29_non-Digenic	DD30_non-Digenic	DD31_non-Digenic	DD32_Digenic	DD33_non-Digenic	DD34_non-Digenic	DD35_non-Digenic	DD36_non-Digenic	DD37_Digenic	DD38_non-Digenic	DD39_non-Digenic	DD40_non-Digenic	DD41_non-Digenic	DD42_non-Digenic	DD43_non-Digenic	DD44_non-Digenic	DD45_non-Digenic	DD46_non-Digenic	DD47_Digenic	DD48_non-Digenic	DD49_non-Digenic	DD50_non-Digenic	DD51_Digenic	DD52_non-Digenic	DD53_non-Digenic	DD54_non-Digenic	DD55_Digenic	DD56_non-Digenic	DD57_non-Digenic	DD58_Digenic	DD59_Digenic	DD60_Digenic	DD61_non-Digenic	DD62_Digenic	DD63_non-Digenic	DD64_non-Digenic	DD65_non-Digenic	DD66_non-Digenic	DD67_non-Digenic	DD68_Digenic	DD69_non-Digenic	DD70_non-Digenic	DD71_non-Digenic	DD72_non-Digenic	DD73_non-Digenic	DD74_Digenic	DD75_non-Digenic	DD76_non-Digenic	DD77_non-Digenic	DD78_non-Digenic	DD79_non-Digenic	DD80_non-Digenic	DD81_non-Digenic	DD82_non-Digenic	DD83_non-Digenic	DD84_non-Digenic	DD85_Digenic	DD86_non-Digenic	DD87_non-Digenic	DD88_non-Digenic	DD89_non-Digenic	DD90_non-Digenic	DD91_non-Digenic	DD92_non-Digenic
Recs.add	0.0199	-0.0142	-0.0136	0.0031	-0.0137	0.0266	-0.0096	0.0041	0.0128	0.021	0.0127	-0.0141	0.0058	-0.0074	0.0184	0.0215	0.0213	0.0012	0.0135	0.0271	0.0209	-0.0145	-0.0133	0.0236	0.0323	-0.0126	0.0087	-0.0062	-0.0077	-0.0056	0.0045	0.0212	-0.0014	0.0348	0.0246	-0.0091	-0.0098	-0.0098	0.0323	0.0036	-0.0135	-0.0081	-0.0157	-0.0131	-0.0163	-0.0086	0.0195	-0.0112	-0.0093	-0.0107	0.0252	-0.0126	0.028	0.0368	-0.014	-0.0103	0.029	0.0218	0.0089	0.0211	-0.0148	0.0046	-0.0095	-0.0086	0.0247	0.0242	-0.0126	-0.0057	0.0059	0.0288	0.0173	-0.0129	-0.0178	0.0117	0.0256	-0.0124	-0.0097	-0.0113	-0.0147	0.022	0.0306	0.0275	0.0127	0.0297	-0.0108	0.0262	0.0393	-0.0138	-0.0197	0.0359	-0.0086	0.0303
Recs.sub	0.0108	-0.0045	-3e-04	-5e-04	-0.0036	0.0119	-0.0016	-5e-04	0.0098	0.0144	0.0028	-0.0034	0.0107	-2e-04	0.0017	5e-04	-0.0032	0.0085	-0.0027	0.0114	0.0085	-0.0025	-0.0036	0.013	-0.0019	-9e-04	4e-04	1e-04	-3e-04	0.0111	0.006	0.0067	-2e-04	0.0205	0.0217	-0.004	-0.0015	-0.004	0.0198	0.0045	-0.0039	-0.0022	-0.0043	-0.0025	-0.0037	-0.0063	0.0086	-0.004	-0.0027	-0.003	0.0123	-0.0044	0.0249	0.0056	9e-04	-0.0037	0.0244	0.0131	0.0034	0.0077	-0.0031	-0.0022	-0.0018	-0.0063	0.0031	0.0135	-0.0037	0.0021	-6e-04	0.0132	-0.0033	-0.0038	-0.0044	0.0052	0.0144	-0.0038	-0.0038	-0.0032	-0.0046	0.0157	0.0163	0.0213	0.0078	0.0143	-0.0044	0.0209	-0.005	-0.0046	-0.0048	0.0192	-0.0063	0.0226
GOSemSim_MF	5e-04	-0.0184	-0.0129	-0.0028	-0.0041	-0.0135	0.0013	-0.0058	0.0091	-0.0141	-0.0016	-0.0084	-0.0056	0.0067	-0.0022	0.003	-0.0109	9e-04	-0.0019	-0.0062	-0.001	0.0021	-0.0116	-0.0018	-0.0075	0.0086	-0.0016	0.0034	-0.0071	-0.0088	-0.0032	0.0021	0.0035	2e-04	-0.0137	-8e-04	0.0022	0.0058	0.0216	-0.0102	-0.0109	-0.01	-0.0117	-8e-04	-0.0119	-0.0145	6e-04	-0.0152	0.038	0.0012	-9e-04	-0.011	-0.0081	-0.0029	-0.0145	-0.0127	-0.0029	-0.0013	-0.0016	1e-04	0.0086	5e-04	-0.0091	-0.0145	-0.0088	-0.0103	-4e-04	-0.0054	-0.005	-0.009	-0.0026	0.0022	-0.0046	-0.0022	-0.0079	-0.0091	-0.0137	-0.0116	-0.0097	0.0077	-0.0018	-0.0031	-0.0071	0.0067	-0.0045	-0.0089	-0.0064	-0.0084	-0.0043	0.0262	-0.0145	-0.0017
GOSemSim_BP	-0.0033	0.0688	-0.0263	0.0622	0.0741	-0.0148	-0.0381	-0.0112	0.0463	0.0777	-0.0194	0.0345	0.0067	-0.0326	0.0521	0.0421	0.0782	-0.0343	0.045	-0.0381	0.0228	-0.0311	-0.0353	0.0356	-0.0299	0.0718	0.0469	-0.0306	-0.0255	-0.0188	-0.0314	-0.0256	0.0672	-0.001	-0.0295	-0.0069	-0.0179	-0.0343	0.0577	-0.0324	-0.0336	-0.0348	-0.0035	-0.0282	0.0239	-0.035	-0.0274	-0.0293	-0.0364	-0.0275	-0.0163	-0.0212	-0.0375	-0.0159	0.0555	-0.0336	-0.0298	0.0069	0.0295	-0.0258	0.0218	-0.0183	-0.0348	-0.035	0.0824	-0.0355	-0.0287	-0.0095	-0.0201	-0.0355	-0.0311	0.0307	-0.0399	0.0574	-0.0389	-0.0334	-0.0316	-0.032	-0.0338	-0.035	-0.0265	-0.0102	-0.0369	0.0253	-0.019	-0.0241	-0.0396	-0.023	-0.0415	-0.0294	-0.035	-0.0324
GOSemSim_CC	-0.003	0.0179	0.0224	0.0127	-0.007	0.0099	-0.0063	-0.0116	-0.0025	0.0432	0.0099	-0.0094	0.0078	0.0697	-0.0045	0.0069	-0.0071	-0.0106	-0.0027	0.0027	1e-04	0.0029	-0.0052	0.0063	-0.0085	0.0137	-0.0013	-0.001	-0.0108	-0.0044	0.0067	-0.0105	-0.011	-0.0109	-0.0045	-0.0076	-0.0036	-0.0106	-0.0089	0.0062	-0.0078	0.0012	-0.0051	0.0015	-0.0018	-0.0075	-0.0086	0.0026	-0.0079	-0.0098	-0.0101	-2e-04	0.0049	0.0119	0.0228	5e-04	0.0031	-0.0069	-0.0069	0.0086	-0.0024	0.0099	4e-04	-0.0075	-2e-04	3e-04	-0.0087	0.0112	-0.0037	-0.0118	7e-04	-0.0121	-0.0062	0.0138	-0.0074	-0.01	0.0591	-0.0042	-0.0067	-0.0031	-0.0074	3e-04	0.0087	-0.0069	0.0013	-0.0094	-0.0045	-0.0085	-0.0047	-0.0057	-0.0075	-0.011
GeneMANIAGG	-0.0172	-0.0224	-0.0181	-0.0196	-0.0209	-0.0229	-0.021	-0.024	-0.0215	-0.0215	0.0272	-0.0213	-0.0242	-0.0207	-0.0203	-0.0175	-0.0208	-0.0216	-0.017	-0.0229	0.0209	-0.0163	-0.0229	-0.0213	-0.0237	-0.0129	-0.0159	-0.0208	-0.0207	-0.0206	-0.0241	-0.0206	-0.0225	-0.0211	-0.0219	-0.0238	-0.0176	-0.0215	-0.0194	-0.0237	-0.021	-0.0205	-0.0223	-0.0219	-0.0202	-0.0188	-0.0172	-0.0216	-0.0206	-0.0218	-0.0214	-0.0224	-0.0234	-0.0219	-0.0178	-0.0215	-0.0228	-0.019	-0.0214	0.0756	-0.0213	0.0919	-0.022	-0.0188	-0.0195	-0.0225	-0.0221	0.0709	-0.0223	-0.0218	-0.0252	-0.0223	-0.0199	-0.0184	-0.0211	-0.0224	-0.0204	-0.0219	-0.023	-0.0212	-0.0233	-0.0217	-0.0229	-0.0213	-0.0182	-0.0218	-0.0214	-0.0222	-0.0196	-0.0191	-0.0188	-0.023
HI.add	0.0013	-0.0024	-0.0023	0.0043	0.0018	-0.0015	6e-04	0.0093	0.0034	0.0052	0.0067	0.0064	0.0018	0.0012	0.009	0.0043	0.0125	-0.0037	6e-04	0.0057	0.0078	0.0015	-9e-04	0.0097	5e-04	0.0032	0.0045	0.0081	0.002	-1e-04	-0.0012	0.0029	0.0048	0.0071	0.002	-0.0018	0.0023	-0.0029	0.0033	-0.0034	-0.0018	-7e-04	0.0018	6e-04	0.0103	9e-04	0.0049	0.0062	-0.0033	-0.0019	-7e-04	-0.0011	0.0055	0.0099	0.0069	0.0011	0.0024	-6e-04	0.0081	0.0014	0.0085	0.0037	0.0033	9e-04	0.0055	0.0032	0.0037	0.0048	1e-04	-7e-04	0.0026	0.0083	-0.0018	-0.001	0.0037	-0.0019	-0.0012	0.001	-3e-04	0.0027	0.0025	0.0041	0.0021	0.0019	-0.0015	0.0103	1e-04	-0.0018	0	4e-04	9e-04	0.01
HI.sub	-0.001	-6e-04	-0.0031	0.0031	-0.0027	0.0037	-0.0017	-0.0027	0.0017	0.0173	0.0054	0.0042	0.0171	0.0029	0.0063	-4e-04	0.0049	0.0013	-9e-04	0.0112	0.0041	-0.0028	3e-04	-0.001	3e-04	-0.0015	9e-04	0.004	-0.0026	-0.0015	0.0048	0.0117	0.0051	-0.0028	9e-04	-0.0011	0.0069	0.0022	3e-04	0	-6e-04	0.0029	-0.001	-0.001	0.0037	-0.0039	-0.0044	-8e-04	-0.0048	-0.0025	-0.0022	3e-04	-1e-04	-0.003	-0.0091	0.0013	-0.0026	-0.0022	0.0068	-0.0027	0.002	9e-04	0.0175	-0.0039	0.0049	3e-04	-0.001	-0.0014	0.004	0.0036	-0.0031	-0.0015	-8e-04	-0.0013	0.0036	-1e-04	0	0.0024	-0.0012	0.0063	-0.0028	0.0032	0.0024	0.0046	-0.0035	-0.0033	0.0016	3e-04	0.0066	9e-04	-0.0039	0.0054
BioDis	-0.0059	-0.0321	-0.0028	0.0453	-0.0524	-0.0169	-0.0502	-0.0154	-0.0525	-0.0017	0.0892	-0.051	-0.0261	-0.0226	-0.0229	-0.0099	-0.0334	-0.0302	0.1006	-0.0364	-0.0145	-0.0387	-0.0306	-0.0114	-0.0226	-0.02	0.0701	-0.0268	-0.0317	-0.0473	-0.0448	0.0402	-0.052	-0.0433	0.0023	-0.0219	-0.0468	-0.0397	-0.0543	-0.0239	-0.0506	-0.0435	-0.0515	-0.0407	-0.0553	0.1652	-0.0268	-0.0223	-0.0422	-0.0495	0.0345	-0.0369	-0.0439	-0.0255	0.0162	-0.0308	-0.0371	-0.0347	-0.0116	-0.0281	-0.0528	-0.0352	-0.0069	0.1652	0.1524	-0.0456	-0.0455	-0.0014	-0.0105	-0.0353	-0.0334	-0.0472	-0.0438	-9e-04	0.116	-0.0362	-0.0513	0.0786	-0.0537	-0.0356	-0.0433	0.0346	-0.0348	-0.041	-0.0241	-0.0303	-0.0507	-0.0518	-0.0491	-0.055	0.1652	-0.0256
LofIn.add	0.0036	-0.0025	0.0012	0.0013	0.0114	0.0052	0.0112	0.0095	0.0115	0.0062	-1e-04	0.0106	0.0042	-0.002	0.0072	0.0016	0.0101	0.0042	0.0034	0.0058	0.0052	0.0049	0.0089	0.0015	0.0107	-0.0016	-2e-04	0.0068	0.0214	-0.003	-0.0015	0.0093	-0.0014	0.0171	0.0054	1e-04	7e-04	0.0031	0.0086	0.0041	-0.0019	0.0045	-0.0021	0.0126	0.0051	-0.0061	-8e-04	0.0042	-0.0027	0.002	-0.0099	-0.0023	-9e-04	0.0175	-6e-04	0.0119	0.0079	0.0016	0.0027	0.0016	0.0041	-5e-04	0.0081	-0.0061	0.0093	0.01	0.0114	-0.0028	0.0136	0.0043	-0.0016	-0.0012	0.0035	-3e-04	-1e-04	-0.0025	-5e-04	0.0029	-0.0025	0.0077	-0.0017	0.0045	0.0066	0.011	-2e-04	0.0059	0.0011	-0.0013	-0.0011	0.0079	-0.0061	0.0063
